,arrest,black,perceivedage,gender,trafficstop,raceperceivedpriortostop,tract_distancefromcal,tract_medianincome,tract_annualstops,tract_nonwhitecomp
216,1,0,1,1,1,1,1.0,1,1,1.0
217,1,0,1,1,1,1,1.0,1,1,1.0
218,0,0,35,1,0,1,1.009877144,71352,436,0.377806286
219,1,0,30,1,1,1,1.009877144,71352,436,0.377806286
220,0,0,30,1,1,0,1.009877144,71352,436,0.377806286
221,0,1,25,1,1,0,1.009877144,71352,436,0.377806286
222,1,0,1,1,1,1,1.0,1,1,1.0
223,0,1,65,2,1,0,1.009877144,71352,436,0.377806286
224,1,1,50,1,0,1,1.009877144,71352,436,0.377806286
225,0,0,45,1,1,1,1.009877144,71352,436,0.377806286
226,0,1,35,2,1,1,1.009877144,71352,436,0.377806286
227,0,0,60,1,1,0,1.009877144,71352,436,0.377806286
228,1,0,30,1,0,1,1.009877144,71352,436,0.377806286
229,0,0,35,1,0,1,1.009877144,71352,436,0.377806286
230,1,0,1,1,1,1,1.0,1,1,1.0
231,0,1,40,2,0,1,1.009877144,71352,436,0.377806286
232,0,0,25,1,0,0,1.009877144,71352,436,0.377806286
233,0,1,40,1,0,1,1.009877144,71352,436,0.377806286
234,0,0,65,1,1,0,1.009877144,71352,436,0.377806286
235,0,0,35,1,1,0,1.009877144,71352,436,0.377806286
236,0,1,35,1,1,0,1.009877144,71352,436,0.377806286
237,0,0,60,2,1,0,1.009877144,71352,436,0.377806286
238,0,1,32,1,1,1,1.009877144,71352,436,0.377806286
239,0,1,25,1,1,0,1.009877144,71352,436,0.377806286
240,0,1,60,1,1,1,1.009877144,71352,436,0.377806286
241,0,0,60,1,1,0,1.009877144,71352,436,0.377806286
242,0,0,35,2,1,0,1.009877144,71352,436,0.377806286
243,0,1,35,1,0,1,1.009877144,71352,436,0.377806286
244,0,1,45,2,1,1,1.009877144,71352,436,0.377806286
245,0,0,35,2,1,1,1.009877144,71352,436,0.377806286
246,0,0,75,2,1,1,1.009877144,71352,436,0.377806286
247,0,0,26,2,1,1,1.009877144,71352,436,0.377806286
248,0,0,40,1,0,1,1.009877144,71352,436,0.377806286
249,0,1,22,1,1,0,1.009877144,71352,436,0.377806286
250,0,0,70,1,1,0,1.009877144,71352,436,0.377806286
251,1,1,40,1,0,1,1.009877144,71352,436,0.377806286
252,0,0,45,1,1,0,1.009877144,71352,436,0.377806286
253,1,0,1,1,1,1,1.0,1,1,1.0
254,0,0,40,1,0,0,1.009877144,71352,436,0.377806286
255,0,0,60,1,1,0,1.009877144,71352,436,0.377806286
256,1,1,35,1,0,1,1.009877144,71352,436,0.377806286
257,0,0,40,1,0,1,1.009877144,71352,436,0.377806286
258,0,0,26,1,1,0,1.009877144,71352,436,0.377806286
259,0,1,50,1,1,1,1.009877144,71352,436,0.377806286
260,0,1,20,1,1,0,1.009877144,71352,436,0.377806286
261,0,0,50,1,0,1,1.009877144,71352,436,0.377806286
262,0,0,31,1,1,0,1.009877144,71352,436,0.377806286
263,0,0,60,2,1,0,1.009877144,71352,436,0.377806286
264,1,1,35,1,0,1,1.009877144,71352,436,0.377806286
265,1,1,28,1,0,0,1.009877144,71352,436,0.377806286
266,0,1,60,1,0,1,1.009877144,71352,436,0.377806286
267,0,1,40,1,0,1,1.009877144,71352,436,0.377806286
268,1,0,1,1,1,1,1.0,1,1,1.0
269,0,1,60,1,1,0,1.009877144,71352,436,0.377806286
270,1,0,1,1,1,1,1.0,1,1,1.0
271,0,1,40,1,0,1,1.009877144,71352,436,0.377806286
272,1,0,1,1,1,1,1.0,1,1,1.0
273,0,0,65,1,0,0,1.009877144,71352,436,0.377806286
274,0,0,25,2,1,0,1.009877144,71352,436,0.377806286
275,1,1,55,1,1,0,1.009877144,71352,436,0.377806286
276,0,0,40,1,0,1,1.009877144,71352,436,0.377806286
277,0,1,40,1,1,0,1.009877144,71352,436,0.377806286
278,0,0,35,1,0,0,1.009877144,71352,436,0.377806286
279,0,0,30,1,0,0,1.009877144,71352,436,0.377806286
280,0,0,25,1,1,0,1.009877144,71352,436,0.377806286
281,1,0,1,1,1,1,1.0,1,1,1.0
282,1,0,1,1,1,1,1.0,1,1,1.0
283,1,0,1,1,1,1,1.0,1,1,1.0
284,0,1,50,1,0,1,1.009877144,71352,436,0.377806286
285,0,0,60,2,1,0,1.009877144,71352,436,0.377806286
286,0,1,23,1,1,0,1.009877144,71352,436,0.377806286
287,0,1,35,1,0,1,1.009877144,71352,436,0.377806286
288,0,0,20,1,1,0,1.009877144,71352,436,0.377806286
289,0,0,70,2,1,0,1.009877144,71352,436,0.377806286
290,0,1,60,1,1,1,1.009877144,71352,436,0.377806286
291,0,1,65,1,1,1,1.009877144,71352,436,0.377806286
292,1,0,1,1,1,1,1.0,1,1,1.0
