,durationofstop,raceperceivedpriortostop,gender,perceivedage,tract_medianincome,tract_totalpop,tract_whitepop,tract_nonwhitecomp,tract_poccomp,tract_nonwhitepop,tract_pocpop,tract_aapop,tract_na_aipop,tract_aisianpop,tract_hawaiian,tract_mixed2,tract_totalnumstops,tract_annualstops,tract_distancefromcal,black,white,asian,hispanic,bipoc,report_risk_groups,arrest,trafficstop,longstop
100,40,1,2,70,71352,3118,1940,0.377806286,0.328415651,1458,1024,585,11,434,6,422,3486,436,1.009877144,1,0,0,0,1,1,0,0,1
101,3,0,2,30,71352,3118,1940,0.377806286,0.328415651,1458,1024,585,11,434,6,422,3486,436,1.009877144,0,1,0,0,0,0,0,1,0
102,4,0,1,30,71352,3118,1940,0.377806286,0.328415651,1458,1024,585,11,434,6,422,3486,436,1.009877144,0,1,0,0,0,0,0,1,0
103,20,1,1,30,71352,3118,1940,0.377806286,0.328415651,1458,1024,585,11,434,6,422,3486,436,1.009877144,1,0,0,0,1,1,0,0,1
104,10,0,1,27,71352,3118,1940,0.377806286,0.328415651,1458,1024,585,11,434,6,422,3486,436,1.009877144,1,0,0,0,1,1,0,1,0
105,10,0,2,30,71352,3118,1940,0.377806286,0.328415651,1458,1024,585,11,434,6,422,3486,436,1.009877144,0,0,1,0,1,0,0,1,0
106,1,1,1,1,1,1,1,1.0,1.0,1,1,1,1,1,1,1,1,1,1.0,0,0,0,0,1,1,1,1,0
107,30,1,1,30,71352,3118,1940,0.377806286,0.328415651,1458,1024,585,11,434,6,422,3486,436,1.009877144,1,0,0,0,1,1,0,0,1
108,15,1,2,50,71352,3118,1940,0.377806286,0.328415651,1458,1024,585,11,434,6,422,3486,436,1.009877144,1,0,0,0,1,1,0,0,0
109,35,1,1,65,71352,3118,1940,0.377806286,0.328415651,1458,1024,585,11,434,6,422,3486,436,1.009877144,1,0,0,0,1,1,0,0,1
110,22,1,2,25,71352,3118,1940,0.377806286,0.328415651,1458,1024,585,11,434,6,422,3486,436,1.009877144,1,0,0,0,1,1,1,0,1
111,5,0,1,30,71352,3118,1940,0.377806286,0.328415651,1458,1024,585,11,434,6,422,3486,436,1.009877144,0,0,0,1,1,1,0,1,0
112,15,0,1,35,71352,3118,1940,0.377806286,0.328415651,1458,1024,585,11,434,6,422,3486,436,1.009877144,1,0,0,0,1,1,0,1,0
113,1,1,1,1,1,1,1,1.0,1.0,1,1,1,1,1,1,1,1,1,1.0,0,0,0,0,1,1,1,1,0
114,8,0,1,30,71352,3118,1940,0.377806286,0.328415651,1458,1024,585,11,434,6,422,3486,436,1.009877144,1,0,0,0,1,1,0,1,0
115,10,0,1,30,71352,3118,1940,0.377806286,0.328415651,1458,1024,585,11,434,6,422,3486,436,1.009877144,1,0,0,0,1,1,0,1,0
116,10,1,1,35,71352,3118,1940,0.377806286,0.328415651,1458,1024,585,11,434,6,422,3486,436,1.009877144,0,1,0,0,0,0,0,0,0
117,45,0,1,40,71352,3118,1940,0.377806286,0.328415651,1458,1024,585,11,434,6,422,3486,436,1.009877144,0,0,0,1,1,1,1,1,1
118,45,0,1,30,71352,3118,1940,0.377806286,0.328415651,1458,1024,585,11,434,6,422,3486,436,1.009877144,0,0,0,1,1,1,1,1,1
119,45,1,2,40,71352,3118,1940,0.377806286,0.328415651,1458,1024,585,11,434,6,422,3486,436,1.009877144,1,0,0,0,1,1,0,0,1
120,68,1,1,65,71352,3118,1940,0.377806286,0.328415651,1458,1024,585,11,434,6,422,3486,436,1.009877144,1,0,0,0,1,1,0,0,1
121,5,1,1,30,71352,3118,1940,0.377806286,0.328415651,1458,1024,585,11,434,6,422,3486,436,1.009877144,1,0,0,0,1,1,0,0,0
122,15,1,2,40,71352,3118,1940,0.377806286,0.328415651,1458,1024,585,11,434,6,422,3486,436,1.009877144,1,0,0,0,1,1,0,0,0
123,17,1,1,30,71352,3118,1940,0.377806286,0.328415651,1458,1024,585,11,434,6,422,3486,436,1.009877144,1,0,0,0,1,1,0,1,1
124,3,1,1,45,71352,3118,1940,0.377806286,0.328415651,1458,1024,585,11,434,6,422,3486,436,1.009877144,0,1,0,0,0,0,0,0,0
125,15,1,1,50,71352,3118,1940,0.377806286,0.328415651,1458,1024,585,11,434,6,422,3486,436,1.009877144,0,1,0,0,0,0,0,0,0
126,17,1,2,70,71352,3118,1940,0.377806286,0.328415651,1458,1024,585,11,434,6,422,3486,436,1.009877144,0,1,0,0,0,0,0,0,1
127,60,1,2,70,71352,3118,1940,0.377806286,0.328415651,1458,1024,585,11,434,6,422,3486,436,1.009877144,0,1,0,0,0,0,1,0,1
128,4,0,1,35,71352,3118,1940,0.377806286,0.328415651,1458,1024,585,11,434,6,422,3486,436,1.009877144,0,0,0,1,1,1,0,1,0
129,30,0,1,40,71352,3118,1940,0.377806286,0.328415651,1458,1024,585,11,434,6,422,3486,436,1.009877144,1,0,0,0,1,1,0,0,1
130,9,1,1,25,71352,3118,1940,0.377806286,0.328415651,1458,1024,585,11,434,6,422,3486,436,1.009877144,1,0,0,0,1,1,0,0,0
131,40,1,1,30,71352,3118,1940,0.377806286,0.328415651,1458,1024,585,11,434,6,422,3486,436,1.009877144,0,0,0,1,1,1,0,0,1
132,9,0,1,40,71352,3118,1940,0.377806286,0.328415651,1458,1024,585,11,434,6,422,3486,436,1.009877144,0,0,1,0,1,0,0,1,0
133,2,0,1,39,71352,3118,1940,0.377806286,0.328415651,1458,1024,585,11,434,6,422,3486,436,1.009877144,0,1,0,0,0,0,0,1,0
134,11,0,2,25,71352,3118,1940,0.377806286,0.328415651,1458,1024,585,11,434,6,422,3486,436,1.009877144,0,0,1,0,1,0,0,1,0
135,10,1,1,50,71352,3118,1940,0.377806286,0.328415651,1458,1024,585,11,434,6,422,3486,436,1.009877144,1,0,0,0,1,1,0,0,0
136,10,0,2,35,71352,3118,1940,0.377806286,0.328415651,1458,1024,585,11,434,6,422,3486,436,1.009877144,1,0,0,0,1,1,0,1,0
137,1,1,1,1,1,1,1,1.0,1.0,1,1,1,1,1,1,1,1,1,1.0,0,0,0,0,1,1,1,1,0
138,2,0,1,39,71352,3118,1940,0.377806286,0.328415651,1458,1024,585,11,434,6,422,3486,436,1.009877144,0,0,0,1,1,1,0,1,0
139,1,1,1,1,1,1,1,1.0,1.0,1,1,1,1,1,1,1,1,1,1.0,0,0,0,0,1,1,1,1,0
140,4,0,2,30,71352,3118,1940,0.377806286,0.328415651,1458,1024,585,11,434,6,422,3486,436,1.009877144,0,0,1,0,1,0,0,1,0
141,10,1,2,30,71352,3118,1940,0.377806286,0.328415651,1458,1024,585,11,434,6,422,3486,436,1.009877144,1,0,0,0,1,1,1,0,0
142,30,1,1,20,71352,3118,1940,0.377806286,0.328415651,1458,1024,585,11,434,6,422,3486,436,1.009877144,1,0,0,0,1,1,1,1,1
143,10,1,1,45,71352,3118,1940,0.377806286,0.328415651,1458,1024,585,11,434,6,422,3486,436,1.009877144,1,0,0,0,1,1,0,0,0
144,5,1,1,45,71352,3118,1940,0.377806286,0.328415651,1458,1024,585,11,434,6,422,3486,436,1.009877144,0,1,0,0,0,0,0,0,0
145,20,1,1,50,71352,3118,1940,0.377806286,0.328415651,1458,1024,585,11,434,6,422,3486,436,1.009877144,1,0,0,0,1,1,1,0,1
146,5,0,1,55,71352,3118,1940,0.377806286,0.328415651,1458,1024,585,11,434,6,422,3486,436,1.009877144,1,0,0,0,1,1,0,1,0
147,1,1,1,1,1,1,1,1.0,1.0,1,1,1,1,1,1,1,1,1,1.0,0,0,0,0,1,1,1,1,0
148,10,0,1,26,71352,3118,1940,0.377806286,0.328415651,1458,1024,585,11,434,6,422,3486,436,1.009877144,1,0,0,0,1,1,0,1,0
149,1,1,1,1,1,1,1,1.0,1.0,1,1,1,1,1,1,1,1,1,1.0,0,0,0,0,1,1,1,1,0
150,6,0,1,30,71352,3118,1940,0.377806286,0.328415651,1458,1024,585,11,434,6,422,3486,436,1.009877144,0,1,0,0,0,0,0,1,0
151,5,0,1,35,71352,3118,1940,0.377806286,0.328415651,1458,1024,585,11,434,6,422,3486,436,1.009877144,0,1,0,0,0,0,0,1,0
152,3,0,2,30,71352,3118,1940,0.377806286,0.328415651,1458,1024,585,11,434,6,422,3486,436,1.009877144,0,1,0,0,0,0,0,1,0
153,6,0,1,23,71352,3118,1940,0.377806286,0.328415651,1458,1024,585,11,434,6,422,3486,436,1.009877144,1,0,0,0,1,1,0,1,0
154,14,1,1,85,71352,3118,1940,0.377806286,0.328415651,1458,1024,585,11,434,6,422,3486,436,1.009877144,0,1,0,0,0,0,0,0,0
155,30,1,2,30,71352,3118,1940,0.377806286,0.328415651,1458,1024,585,11,434,6,422,3486,436,1.009877144,0,1,0,0,0,0,0,0,1
156,45,0,2,35,71352,3118,1940,0.377806286,0.328415651,1458,1024,585,11,434,6,422,3486,436,1.009877144,1,0,0,0,1,1,0,0,1
157,2,1,1,30,71352,3118,1940,0.377806286,0.328415651,1458,1024,585,11,434,6,422,3486,436,1.009877144,1,0,0,0,1,1,0,0,0
158,10,1,1,60,71352,3118,1940,0.377806286,0.328415651,1458,1024,585,11,434,6,422,3486,436,1.009877144,1,0,0,0,1,1,0,0,0
159,8,0,2,45,71352,3118,1940,0.377806286,0.328415651,1458,1024,585,11,434,6,422,3486,436,1.009877144,1,0,0,0,1,1,0,1,0
160,4,1,2,30,71352,3118,1940,0.377806286,0.328415651,1458,1024,585,11,434,6,422,3486,436,1.009877144,0,1,0,0,0,0,0,0,0
161,10,1,1,40,71352,3118,1940,0.377806286,0.328415651,1458,1024,585,11,434,6,422,3486,436,1.009877144,1,0,0,0,1,1,0,0,0
162,10,1,1,40,71352,3118,1940,0.377806286,0.328415651,1458,1024,585,11,434,6,422,3486,436,1.009877144,0,1,0,0,0,0,0,1,0
