"Label (Grouping)","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!One race--","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!One race--!!White","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!One race--!!Black or African American","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!One race--!!American Indian and Alaska Native","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!One race--!!Asian","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!One race--!!Native Hawaiian and Other Pacific Islander","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!One race--!!Some other race","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!Two or more races","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!Hispanic or Latino origin (of any race)","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!White alone, not Hispanic or Latino","HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER","HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","FAMILIES","FAMILIES!!Families","FAMILIES!!Families!!With own children of householder under 18 years","FAMILIES!!Families!!With no own children of householder under 18 years","FAMILIES!!Families!!Married-couple families","FAMILIES!!Families!!Married-couple families!!With own children under 18 years","FAMILIES!!Families!!Female householder, no spouse present","FAMILIES!!Families!!Female householder, no spouse present!!With own children under 18 years","FAMILIES!!Families!!Male householder, no spouse present","FAMILIES!!Families!!Male householder, no spouse present!!With own children under 18 years","FAMILY INCOME BY FAMILY SIZE","FAMILY INCOME BY FAMILY SIZE!!2-person families","FAMILY INCOME BY FAMILY SIZE!!3-person families","FAMILY INCOME BY FAMILY SIZE!!4-person families","FAMILY INCOME BY FAMILY SIZE!!5-person families","FAMILY INCOME BY FAMILY SIZE!!6-person families","FAMILY INCOME BY FAMILY SIZE!!7-or-more person families","FAMILY INCOME BY NUMBER OF EARNERS","FAMILY INCOME BY NUMBER OF EARNERS!!No earners","FAMILY INCOME BY NUMBER OF EARNERS!!1 earner","FAMILY INCOME BY NUMBER OF EARNERS!!2 earners","FAMILY INCOME BY NUMBER OF EARNERS!!3 or more earners","NONFAMILY HOUSEHOLDS","NONFAMILY HOUSEHOLDS!!Nonfamily households","NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone"
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","1,184","","939","40","0","121","0","25","59","63","902","","53","407","321","403","","585","163","422","510","148","27","15","48","0","","350","97","131","1","6","0","","39","234","249","63","","599","367","240","127","232","167","65"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","1,184","","79.3%","3.4%","0.0%","10.2%","0.0%","2.1%","5.0%","5.3%","76.2%","","4.5%","34.4%","27.1%","34.0%","","585","27.9%","72.1%","87.2%","25.3%","4.6%","2.6%","8.2%","0.0%","","59.8%","16.6%","22.4%","0.2%","1.0%","0.0%","","6.7%","40.0%","42.6%","10.8%","","599","61.3%","40.1%","21.2%","38.7%","27.9%","10.9%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","119,674","","132,625","-","-","95,739","-","-","106,250","113,625","137,781","","-","113,750","161,625","129,625","","139,858","195,521","139,146","139,873","197,083","-","-","250,000+","-","","137,753","250,000+","169,479","-","-","-","","129,375","138,345","155,875","250,000+","","71,875","79,531","51,250","117,772","70,250","97,639","-"
"Census Tract 4236.02, Alameda County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","2,274","","1,353","0","27","663","26","54","151","183","1,240","","745","768","332","429","","581","159","422","499","128","51","0","31","31","","377","123","50","31","0","0","","13","270","272","26","","1,693","983","473","510","710","311","399"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","2,274","","59.5%","0.0%","1.2%","29.2%","1.1%","2.4%","6.6%","8.0%","54.5%","","32.8%","33.8%","14.6%","18.9%","","581","27.4%","72.6%","85.9%","22.0%","8.8%","0.0%","5.3%","5.3%","","64.9%","21.2%","8.6%","5.3%","0.0%","0.0%","","2.2%","46.5%","46.8%","4.5%","","1,693","58.1%","27.9%","30.1%","41.9%","18.4%","23.6%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","60,228","","62,286","-","-","19,040","-","-","-","-","72,292","","14,199","105,887","-","61,738","","-","250,000+","62,234","-","250,000+","-","-","-","-","","62,419","-","-","-","-","-","","-","61,509","146,935","-","","42,468","34,485","-","42,500","44,189","61,719","33,882"
"Census Tract 4237, Alameda County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","1,242","","950","16","18","168","0","7","83","105","870","","145","275","467","355","","563","286","277","482","222","76","64","5","0","","281","91","116","67","0","8","","51","124","375","13","","679","446","283","163","233","188","45"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","1,242","","76.5%","1.3%","1.4%","13.5%","0.0%","0.6%","6.7%","8.5%","70.0%","","11.7%","22.1%","37.6%","28.6%","","563","50.8%","49.2%","85.6%","39.4%","13.5%","11.4%","0.9%","0.0%","","49.9%","16.2%","20.6%","11.9%","0.0%","1.4%","","9.1%","22.0%","66.6%","2.3%","","679","65.7%","41.7%","24.0%","34.3%","27.7%","6.6%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","102,763","","119,500","-","-","-","-","-","-","79,226","128,043","","10,573","104,013","250,000+","56,719","","250,000+","250,000+","111,055","250,000+","250,000+","250,000+","250,000+","-","-","","111,211","250,000+","250,000+","-","-","-","","136,042","113,900","250,000+","-","","39,375","36,667","43,750","-","-","-","-"
"Census Tract 4238, Alameda County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","1,377","","1,185","8","0","144","0","0","40","38","1,147","","6","368","433","570","","762","189","573","716","179","33","10","13","0","","485","134","107","29","5","2","","186","193","316","67","","615","331","220","111","284","182","102"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","1,377","","86.1%","0.6%","0.0%","10.5%","0.0%","0.0%","2.9%","2.8%","83.3%","","0.4%","26.7%","31.4%","41.4%","","762","24.8%","75.2%","94.0%","23.5%","4.3%","1.3%","1.7%","0.0%","","63.6%","17.6%","14.0%","3.8%","0.7%","0.3%","","24.4%","25.3%","41.5%","8.8%","","615","53.8%","35.8%","18.0%","46.2%","29.6%","16.6%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","181,938","","185,954","-","-","160,000","-","-","-","250,000+","185,362","","-","185,417","180,759","182,222","","232,813","250,000+","192,242","250,000+","250,000+","90,125","-","-","-","","195,313","250,000+","250,000+","-","-","-","","168,333","250,000+","250,000+","250,000+","","118,657","100,489","75,982","153,250","121,528","121,319","-"
"Census Tract 4239.01, Alameda County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","845","","503","92","12","96","0","47","95","124","450","","34","358","290","163","","424","143","281","326","119","57","24","41","0","","269","65","59","22","5","4","","58","39","303","24","","421","201","148","53","220","121","99"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","845","","59.5%","10.9%","1.4%","11.4%","0.0%","5.6%","11.2%","14.7%","53.3%","","4.0%","42.4%","34.3%","19.3%","","424","33.7%","66.3%","76.9%","28.1%","13.4%","5.7%","9.7%","0.0%","","63.4%","15.3%","13.9%","5.2%","1.2%","0.9%","","13.7%","9.2%","71.5%","5.7%","","421","47.7%","35.2%","12.6%","52.3%","28.7%","23.5%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","99,271","","127,404","26,731","-","-","-","48,523","122,917","-","131,250","","-","137,540","92,143","43,750","","138,992","133,021","139,375","139,919","148,542","-","-","-","-","","139,173","129,792","133,036","250,000+","-","-","","-","-","139,496","171,250","","71,726","68,958","59,219","-","72,024","60,313","103,750"
"Census Tract 4239.02, Alameda County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","709","","621","15","0","57","0","0","16","41","580","","51","335","179","144","","286","115","171","265","99","7","7","14","9","","151","59","76","0","0","0","","19","63","181","23","","423","289","242","47","134","90","44"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","709","","87.6%","2.1%","0.0%","8.0%","0.0%","0.0%","2.3%","5.8%","81.8%","","7.2%","47.2%","25.2%","20.3%","","286","40.2%","59.8%","92.7%","34.6%","2.4%","2.4%","4.9%","3.1%","","52.8%","20.6%","26.6%","0.0%","0.0%","0.0%","","6.6%","22.0%","63.3%","8.0%","","423","68.3%","57.2%","11.1%","31.7%","21.3%","10.4%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","150,164","","150,362","136,563","-","154,306","-","-","-","-","151,316","","-","169,750","150,347","88,750","","200,119","200,536","156,042","201,369","201,488","-","-","-","-","","154,861","182,292","201,071","-","-","-","","127,250","-","224,844","-","","78,295","86,750","88,929","-","50,000","-","-"
"Census Tract 4240.01, Alameda County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","1,375","","771","244","5","122","0","179","54","243","724","","69","610","451","245","","671","376","295","522","272","114","69","35","35","","291","140","179","50","11","0","","41","286","312","32","","704","364","182","182","340","127","213"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","1,375","","56.1%","17.7%","0.4%","8.9%","0.0%","13.0%","3.9%","17.7%","52.7%","","5.0%","44.4%","32.8%","17.8%","","671","56.0%","44.0%","77.8%","40.5%","17.0%","10.3%","5.2%","5.2%","","43.4%","20.9%","26.7%","7.5%","1.6%","0.0%","","6.1%","42.6%","46.5%","4.8%","","704","51.7%","25.9%","25.9%","48.3%","18.0%","30.3%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","76,958","","110,893","33,500","-","63,409","-","38,849","121,250","39,638","112,500","","70,521","104,808","86,422","31,648","","107,944","108,306","106,797","120,294","146,500","54,688","49,688","-","-","","103,365","176,471","85,764","120,147","-","-","","-","49,907","175,441","122,353","","41,196","33,667","13,974","75,357","71,607","-","100,341"
